buy_date,sell_date,buy_adx,sell_adx,buy_price,sell_price,profit,profit %
2023-02-15,2023-02-23,48.15762237505472,44.62021887543118,24307.841796875,23947.4921875,-360.349609375,-1.4824418078174522
2023-03-12,2023-04-17,24.504619153913303,39.331063925806006,22163.94921875,29445.044921875,7281.095703125,32.851075551848965
2023-04-27,2023-05-01,26.404346732759212,23.888432766505087,29473.787109375,28091.568359375,-1382.21875,-4.689654386355885
2023-05-28,2023-06-05,17.23377788802192,14.572846183440332,28085.646484375,25760.09765625,-2325.548828125,-8.280204016022141
2023-06-19,2023-07-06,22.41662807770828,40.10842232264607,26851.029296875,29909.337890625,3058.30859375,11.389911946898568
2023-07-13,2023-07-18,44.55161834544565,43.36397201147457,31476.048828125,29856.5625,-1619.486328125,-5.145138568592922
2023-08-01,2023-08-15,22.70353108427953,16.44275570752414,29675.732421875,29170.34765625,-505.384765625,-1.7030237314461818
2023-08-29,2023-09-01,32.69746312666942,29.25873048021892,27727.392578125,25800.724609375,-1926.66796875,-6.94860854053045
2023-09-13,2023-09-24,22.386026032301743,14.164137862859578,26228.32421875,26256.826171875,28.501953125,0.1086686014984695
2023-09-28,2023-10-09,13.181854800586429,26.8965469542131,27021.546875,27583.677734375,562.130859375,2.080305994232612
2023-10-16,2023-11-14,22.205273239292172,67.6180738483791,28519.466796875,35537.640625,7018.173828125,24.608362695245102
2023-11-28,2023-12-11,47.13379491062378,49.57775195004481,37831.0859375,41243.83203125,3412.74609375,9.021010127460077
2023-12-20,2023-12-29,33.18744324729229,22.668690665828453,43652.25,42099.40234375,-1552.84765625,-3.5573141275650166
2024-01-01,2024-01-14,20.46544312561482,16.816101274697782,44167.33203125,41796.26953125,-2371.0625,-5.368362522604686
2024-01-26,2024-03-16,21.92199197870432,52.23829763980845,41816.87109375,65315.1171875,23498.24609375,56.19321933740298
2024-03-25,2024-04-02,34.20805829855418,22.014277083192656,69958.8125,65446.97265625,-4511.83984375,-6.449280201475689
2024-04-08,2024-04-13,17.370439120963585,17.12335802367965,71631.359375,63821.47265625,-7809.88671875,-10.90288776716378
2024-05-13,2024-06-11,20.35839492554708,20.670175636574164,62901.44921875,67332.03125,4430.58203125,7.043688319234
2024-06-30,2024-07-03,33.24608952705049,32.496160509249826,62678.29296875,60173.921875,-2504.37109375,-3.995595564478158
2024-07-15,2024-07-31,36.250554715658005,23.574888706153093,64870.15234375,64619.25,-250.90234375,-0.3867762517659225
2024-08-08,2024-08-15,26.756321588401136,25.795048594262965,61710.13671875,57560.09765625,-4150.0390625,-6.725052451940286
2024-08-23,2024-08-27,23.037406322228243,20.443561837351098,64094.35546875,59504.1328125,-4590.22265625,-7.161664428450365
2024-09-09,2024-09-30,25.25426483255413,22.30790870697032,57019.53515625,63329.5,6309.96484375,11.066321088831877
2024-10-14,2024-10-23,13.62438419433452,20.341807232160395,66046.125,66432.1953125,386.0703125,0.5845465006463286
2024-10-28,2024-11-02,19.47868468505681,22.850169119044686,69907.7578125,69289.2734375,-618.484375,-0.884714936300547
2024-11-06,2024-11-25,20.949615420007568,53.372366954646886,75639.078125,93102.296875,17463.21875,23.087561592356465
2024-12-06,2024-12-10,45.20545912765463,42.66734605262461,99920.7109375,96675.4296875,-3245.28125,-3.247856444926528
2024-12-16,2024-12-18,41.964191988622936,41.15114890016424,106029.71875,100041.5390625,-5988.1796875,-5.647642715736242
2025-01-04,2025-01-08,21.18569056442325,17.847181251829262,98236.2265625,95043.5234375,-3192.703125,-3.250026224255197
2025-01-15,2025-01-27,16.657488697019353,12.969687881610128,100504.4921875,102087.6875,1583.1953125,1.575248307853155
2025-03-02,2025-03-09,43.49132864984642,35.63794877118321,94248.3515625,80601.0390625,-13647.3125,-14.480160420577647
2025-03-19,2025-03-29,36.3257121084515,23.94386160582596,86854.2265625,82597.5859375,-4256.640625,-4.900902113194153
2025-04-21,2025-05-29,12.48667071680283,28.254146225378527,87518.90625,105641.7578125,18122.8515625,20.70735608913074
2025-06-09,2025-06-12,19.079020736860457,17.009127692190322,110294.1015625,105929.0546875,-4365.046875,-3.9576430771562823
2025-06-25,2025-07-01,16.79812470921475,12.57246646422386,107361.2578125,105698.28125,-1662.9765625,-1.5489540606950496
2025-07-09,2025-08-01,10.443237146796031,22.074655778345697,111326.5546875,113320.0859375,1993.53125,1.790705960133192
